Group,WoP,Date,Time start,Number of Calls WITHIN,Call Type 1,Call Type 2,Context 1,Context 2,Number of Calls OUTSIDE,Eagle,Non-Alarm,unknown
R4,63,03/17/2014,10:40,1,Pop,Snake chirps,Eagle alarm,,,1,0,0
R4,63,03/18/2014,12:52,1,Pop,Snake chirps,Eagle alarm,,,1,0,0
R4,63,03/19/2014,12:20,2,Pop,Snake chirps,Calls from a bird,,,0,1,0
R4,63,03/19/2014,13:06,1,Pop,,Eagle alarm,,,1,0,0
R4,63,03/20/2014,12:04,1,Pop,,Tree/branch fall,,,0,1,0
R4,63,03/20/2014,15:20,2,Pop,Snake chirps,Eagle alarm,,,1,0,0
R4,63,03/21/2014,14:00,2,Pop,Snake chirps,Eagle alarm,,,1,0,0
R4,63,03/22/2014,10:14,1,Pop,,Calls from a bird,,,0,1,0
R4,63,03/22/2014,12:14,1,Pop,Snake chirps,Eagle alarm,,,1,0,0
R4,63,03/23/2014,11:40,1,Pop,Snake chirps,Eagle alarm,,,1,0,0
R4,63,03/24/2014,13:35,1,Pop,Ka-train,Eagle alarm,,,1,0,0
R4,63,03/24/2014,14:44,2,Pop,Snake chirps,Calls from a bird,,,0,1,0
R4,63,03/25/2014,10:39,1,Pop,Snake chirps,Eagle alarm,,,1,0,0
R4,64,04/07/2014,12:20,1,Pop,,Eagle alarm,,,1,0,0
R4,64,04/08/2014,11:41,2,Pop,Snake chirps,Calls from a bird,,,0,1,0
R4,64,04/08/2014,12:35,1,Pop,,Eagle alarm,,,1,0,0
R4,64,04/09/2014,11:21,2,Pop,,Fight within group,,,0,1,0
R4,64,04/09/2014,12:20,1,Pop,Snake chirps,Eagle alarm,,,1,0,0
R4,64,04/10/2014,11:53,1,Pop,Snake chirps,Eagle alarm,,,1,0,0
R4,64,04/10/2014,13:42,2,Pop,,Calls from a bird,,,0,1,0
R4,64,04/11/2014,09:40,2,Pop,,Calls from another redtail group,,,0,1,0
R4,64,04/11/2014,12:00,1,Pop,Snake chirps,Eagle alarm,,,1,0,0
R4,64,04/12/2014,12:06,1,Pop,Snake chirps,Calls from a bird,,,0,1,0
R4,64,04/12/2014,13:07,1,Pop,,Eagle alarm,,,1,0,0
R4,64,04/13/2014,12:33,1,Pop,,Eagle alarm,,,1,0,0
R4,64,04/13/2014,13:34,1,Pop,Snake chirps,Calls from a bird,,,0,1,0
R4,64,04/14/2014,12:45,1,Pop,,Eagle alarm,,,1,0,0
R4,64,04/15/2014,12:21,2,Pop,Snake chirps,Eagle alarm,,,1,0,0
R4,64,04/15/2014,13:22,1,Pop,,Calls from another monkey species,,,0,1,0
R4,64,04/16/2014,12:45,1,Pop,Snake chirps,Eagle alarm,,,1,0,0
R4,64,04/16/2014,14:03,1,Pop,,Calls from a bird,,,0,1,0
R4,65,05/06/2014,11:39,2,Pop,,Eagle alarm,,,1,0,0
R4,65,05/06/2014,12:03,2,Pop,Snake chirps,Calls from another monkey species,,,0,1,0
R4,65,05/07/2014,12:03,2,Pop,,Calls from another monkey species,,,0,1,0
R4,65,05/08/2014,13:14,2,Pop,Snake chirps,Eagle alarm,,,1,0,0
R4,65,05/09/2014,11:50,2,Pop,Snake chirps,Eagle alarm,,,1,0,0
R4,65,05/09/2014,13:50,1,Pop,,Calls from another monkey species,,,0,1,0
R4,65,05/10/2014,11:36,2,Pop,,Calls from a bird,,,0,1,0
R4,65,05/11/2014,11:49,2,Pop,Snake chirps,Eagle alarm,,,1,0,0
R4,65,05/12/2014,12:19,2,Pop,,Calls from another monkey species,,,0,1,0
R4,65,05/13/2014,11:19,2,Pop,,Calls from another monkey species,,,0,1,0
R4,65,05/13/2014,13:20,1,Pop,Snake chirps,Eagle alarm,,,1,0,0
R4,65,05/14/2014,11:35,1,Pop,Snake chirps,Eagle alarm,,,1,0,0
R4,65,05/14/2014,13:09,2,Pop,,Calls from a bird,,,0,1,0
R4,66,06/12/2014,13:04,2,Pop,Snake chirps,Eagle alarm,,,1,0,0
R4,66,06/13/2014,11:19,2,Pop,Snake chirps,Eagle alarm,,,1,0,0
R4,66,06/14/2014,12:36,2,Pop,,Calls from a bird,,,0,1,0
R4,66,06/14/2014,14:37,1,Pop,,Calls from another monkey species,,,0,1,0
R4,66,06/15/2014,12:40,2,Pop,,Calls from another redtail group,,,0,1,0
R4,66,06/15/2014,13:08,1,Pop,Snake chirps,Eagle alarm,,,1,0,0
R4,66,06/16/2014,11:34,1,Pop,,Calls from a bird,,,0,1,0
R4,66,06/16/2014,12:00,2,Pop,Snake chirps,Eagle alarm,,,1,0,0
R4,66,06/17/2014,11:04,1,Pop,,Eagle alarm,,,1,0,0
